,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Bitcoin,30,300.8697243790573,300.86972437905735,9.008001615491494,9.008001615491494,1813,1813,0,0,3626
1,Bitcoin,60,300.8697243790573,300.86972437905735,45.150144998365874,45.150144998365874,1198,1197,0,0,2395
2,Bitcoin,90,300.8697243790573,300.86972437905735,60.299371496992194,60.299371496992194,907,906,0,0,1813
3,Bitcoin,120,300.8697243790573,300.86972437905735,106.1375778195943,106.13757781959433,702,701,0,0,1403
4,Bitcoin,150,300.8697243790573,300.86972437905735,56.31242952867086,56.31242952867086,589,588,0,0,1177
5,Bitcoin,180,300.8697243790573,300.86972437905735,38.81410103936622,38.81410103936622,513,512,0,0,1025
6,Bitcoin,210,300.8697243790573,300.86972437905735,47.335005329775385,47.335005329775385,459,458,0,0,917
7,Bitcoin,240,300.8697243790573,300.86972437905735,18.67261132503397,18.67261132503397,429,428,0,0,857
8,Bitcoin,270,300.8697243790573,300.86972437905735,42.7448922650957,42.7448922650957,387,386,0,0,773
9,Bitcoin,300,300.8697243790573,300.86972437905735,33.31828956170085,33.31828956170085,353,352,0,0,705
10,Bitcoin,330,300.8697243790573,300.86972437905735,43.408676021893456,43.408676021893456,328,327,0,0,655
11,Bitcoin,360,300.8697243790573,300.86972437905735,63.30991257821401,63.30991257821401,294,293,0,0,587
12,Bitcoin,390,300.8697243790573,300.86972437905735,88.89632169765596,88.89632169765599,271,270,0,0,541
13,Bitcoin,420,300.8697243790573,300.86972437905735,74.40167993092365,74.40167993092365,255,254,0,0,509
14,Bitcoin,450,300.8697243790573,300.86972437905735,58.51770573599856,58.51770573599856,244,243,0,0,487
15,Bitcoin,480,300.8697243790573,300.86972437905735,46.838360469885174,46.838360469885174,232,231,0,0,463
16,Bitcoin,510,300.8697243790573,300.86972437905735,39.439108795843964,39.439108795843964,224,223,0,0,447
17,Bitcoin,540,300.8697243790573,300.86972437905735,47.13885071162227,47.13885071162227,210,209,0,0,419
18,Bitcoin,570,300.8697243790573,300.86972437905735,33.36030829274705,33.36030829274705,199,199,0,0,398
19,Bitcoin,600,300.8697243790573,300.86972437905735,43.869350998073,43.869350998073,187,187,0,0,374
20,Bitcoin,630,300.8697243790573,300.86972437905735,46.838769857249446,46.838769857249446,179,179,0,0,358
21,Bitcoin,660,300.8697243790573,300.86972437905735,46.00699265388042,46.00699265388042,173,173,0,0,346
22,Bitcoin,690,300.8697243790573,300.86972437905735,69.7913420663011,69.7913420663011,163,163,0,0,326
23,Bitcoin,720,300.8697243790573,300.86972437905735,72.95987211864104,72.95987211864104,156,155,0,0,311
24,Bitcoin,750,300.8697243790573,300.86972437905735,89.5969609432234,89.5969609432234,148,147,0,0,295
25,Bitcoin,780,300.8697243790573,300.86972437905735,76.59309643385703,76.59309643385703,146,145,0,0,291
26,Bitcoin,810,300.8697243790573,300.86972437905735,84.06535690214642,84.06535690214642,141,140,0,0,281
27,Bitcoin,840,300.8697243790573,300.86972437905735,128.9731349842377,128.9731349842377,134,133,0,0,267
28,Bitcoin,870,300.8697243790573,300.86972437905735,143.43346836598528,143.4334683659853,129,128,0,0,257
29,Bitcoin,900,300.8697243790573,300.86972437905735,151.39928302896317,151.39928302896317,124,123,0,0,247
30,Bitcoin,930,300.8697243790573,300.86972437905735,156.77502803551954,156.77502803551954,122,121,0,0,243
31,Bitcoin,960,300.8697243790573,300.86972437905735,167.53080056736883,167.53080056736883,119,118,0,0,237
32,Bitcoin,990,300.8697243790573,300.86972437905735,163.51438127398842,163.51438127398848,116,115,0,0,231
33,Bitcoin,1020,300.8697243790573,300.86972437905735,200.5360838923085,200.5360838923085,113,112,0,0,225
34,Bitcoin,1050,300.8697243790573,300.86972437905735,214.35704696048225,214.35704696048225,110,109,0,0,219
35,Bitcoin,1080,300.8697243790573,300.86972437905735,214.5644904492839,214.56449044928394,106,105,0,0,211
36,Bitcoin,1110,300.8697243790573,300.86972437905735,216.24916804591714,216.24916804591714,101,100,0,0,201
37,Bitcoin,1140,300.8697243790573,300.86972437905735,211.07292959542372,211.07292959542372,100,99,0,0,199
38,Bitcoin,1170,300.8697243790573,300.86972437905735,212.33683735131473,212.33683735131473,96,95,0,0,191
39,Bitcoin,1200,300.8697243790573,300.86972437905735,197.67393157417058,197.67393157417058,96,95,0,0,191
40,Bitcoin,1230,300.8697243790573,300.86972437905735,207.86264219186873,207.86264219186876,93,92,0,0,185
41,Bitcoin,1260,300.8697243790573,300.86972437905735,204.82152739763762,204.82152739763762,91,90,0,0,181
42,Bitcoin,1290,300.8697243790573,300.86972437905735,211.53516515638802,211.53516515638802,88,87,0,0,175
43,Bitcoin,1320,300.8697243790573,300.86972437905735,227.47984450868935,227.47984450868938,85,84,0,0,169
44,Bitcoin,1350,300.8697243790573,300.86972437905735,236.06463458809358,236.0646345880936,81,80,0,0,161
45,Bitcoin,1380,300.8697243790573,300.86972437905735,230.73966122938936,230.73966122938936,79,78,0,0,157
46,Bitcoin,1410,300.8697243790573,300.86972437905735,223.9746432574669,223.97464325746694,79,78,0,0,157
47,Bitcoin,1440,300.8697243790573,300.86972437905735,235.01662001497817,235.01662001497817,76,75,0,0,151
48,Bitcoin,1470,300.8697243790573,300.86972437905735,263.25399242290274,263.25399242290274,73,72,0,0,145
49,Bitcoin,1500,300.8697243790573,300.86972437905735,242.49055224980017,242.49055224980015,71,70,0,0,141
50,Bitcoin,1530,300.8697243790573,300.86972437905735,252.48797905796684,252.4879790579668,68,67,0,0,135
51,Bitcoin,1560,300.8697243790573,300.86972437905735,261.2905821470123,261.2905821470123,66,65,0,0,131
52,Bitcoin,1590,300.8697243790573,300.86972437905735,247.2271915770341,247.2271915770341,66,65,0,0,131
53,Bitcoin,1620,300.8697243790573,300.86972437905735,236.16348003639817,236.1634800363982,66,65,0,0,131
54,Bitcoin,1650,300.8697243790573,300.86972437905735,247.58677014741477,247.58677014741477,62,61,0,0,123
55,Bitcoin,1680,300.8697243790573,300.86972437905735,279.3256043346269,279.3256043346269,60,59,0,0,119
56,Bitcoin,1710,300.8697243790573,300.86972437905735,283.7918153289457,283.7918153289457,59,58,0,0,117
57,Bitcoin,1740,300.8697243790573,300.86972437905735,293.8567616731759,293.8567616731759,57,56,0,0,113
