,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Dogecoin,30,130.76880788049317,130.76880788049317,-99.64692694586392,-99.64692694586392,2691,2691,0,0,5382
1,Dogecoin,60,130.76880788049317,130.76880788049317,-99.42170478325373,-99.42170478325373,1822,1822,0,0,3644
2,Dogecoin,90,130.76880788049317,130.76880788049317,-98.91126978499867,-98.91126978499867,1402,1402,0,0,2804
3,Dogecoin,120,130.76880788049317,130.76880788049317,-97.59955108553993,-97.59955108553993,1100,1100,0,0,2200
4,Dogecoin,150,130.76880788049317,130.76880788049317,-96.3025113822909,-96.3025113822909,914,914,0,0,1828
5,Dogecoin,180,130.76880788049317,130.76880788049317,-95.58013155044449,-95.58013155044449,791,791,0,0,1582
6,Dogecoin,210,130.76880788049317,130.76880788049317,-93.52588420958153,-93.52588420958153,682,682,0,0,1364
7,Dogecoin,240,130.76880788049317,130.76880788049317,-90.69246703150488,-90.69246703150488,604,604,0,0,1208
8,Dogecoin,270,130.76880788049317,130.76880788049317,-88.22829209836394,-88.22829209836394,545,545,0,0,1090
9,Dogecoin,300,130.76880788049317,130.76880788049317,-87.57023893154575,-87.57023893154575,505,505,0,0,1010
10,Dogecoin,330,130.76880788049317,130.76880788049317,-88.4003789617313,-88.4003789617313,471,471,0,0,942
11,Dogecoin,360,130.76880788049317,130.76880788049317,-87.56875515350923,-87.56875515350923,438,438,0,0,876
12,Dogecoin,390,130.76880788049317,130.76880788049317,-86.30977588442943,-86.30977588442943,401,400,0,0,801
13,Dogecoin,420,130.76880788049317,130.76880788049317,-82.03890651671148,-82.03890651671148,372,371,0,0,743
14,Dogecoin,450,130.76880788049317,130.76880788049317,-79.59204664336488,-79.59204664336488,342,341,0,0,683
15,Dogecoin,480,130.76880788049317,130.76880788049317,-66.82656984035742,-66.82656984035742,325,324,0,0,649
16,Dogecoin,510,130.76880788049317,130.76880788049317,-58.160642503053275,-58.160642503053275,306,305,0,0,611
17,Dogecoin,540,130.76880788049317,130.76880788049317,-31.807235534051102,-31.807235534051102,286,285,0,0,571
18,Dogecoin,570,130.76880788049317,130.76880788049317,-25.636889936629657,-25.636889936629657,273,272,0,0,545
19,Dogecoin,600,130.76880788049317,130.76880788049317,-23.938755455001655,-23.938755455001655,261,260,0,0,521
20,Dogecoin,630,130.76880788049317,130.76880788049317,-23.13734810672615,-23.13734810672615,249,248,0,0,497
21,Dogecoin,660,130.76880788049317,130.76880788049317,-21.960594623349763,-21.960594623349763,236,236,0,0,472
22,Dogecoin,690,130.76880788049317,130.76880788049317,-19.07661728358603,-19.07661728358603,227,227,0,0,454
23,Dogecoin,720,130.76880788049317,130.76880788049317,-0.08939071327533554,-0.08939071327533554,216,216,0,0,432
24,Dogecoin,750,130.76880788049317,130.76880788049317,2.9824959799136224,2.9824959799136224,211,211,0,0,422
25,Dogecoin,780,130.76880788049317,130.76880788049317,12.569060303970216,12.569060303970218,201,198,0,0,399
26,Dogecoin,810,130.76880788049317,130.76880788049317,25.84909969147787,25.84909969147789,189,187,0,0,376
27,Dogecoin,840,130.76880788049317,130.76880788049317,36.21093613703559,36.21093613703559,178,176,0,0,354
28,Dogecoin,870,130.76880788049317,130.76880788049317,45.47718685801695,45.47718685801695,172,170,0,0,342
29,Dogecoin,900,130.76880788049317,130.76880788049317,57.6888305396426,57.688830539642595,166,164,0,0,330
30,Dogecoin,930,130.76880788049317,130.76880788049317,38.83876899385547,38.83876899385547,159,157,0,0,316
31,Dogecoin,960,130.76880788049317,130.76880788049317,27.98828463246952,27.988284632469515,158,156,0,0,314
32,Dogecoin,990,130.76880788049317,130.76880788049317,21.65624840008151,21.65624840008151,156,154,0,0,310
33,Dogecoin,1020,130.76880788049317,130.76880788049317,16.507235699990915,16.5072356999909,151,149,0,0,300
34,Dogecoin,1050,130.76880788049317,130.76880788049317,22.81095217943259,22.81095217943259,145,143,0,0,288
35,Dogecoin,1080,130.76880788049317,130.76880788049317,37.352481313025294,37.352481313025294,139,137,0,0,276
36,Dogecoin,1110,130.76880788049317,130.76880788049317,29.321494097824203,29.3214940978242,135,133,0,0,268
37,Dogecoin,1140,130.76880788049317,130.76880788049317,33.222932233175584,33.222932233175584,130,128,0,0,258
38,Dogecoin,1170,130.76880788049317,130.76880788049317,21.43030412156105,21.430304121561065,128,126,0,0,254
39,Dogecoin,1200,130.76880788049317,130.76880788049317,23.31517417984439,23.31517417984439,126,124,0,0,250
40,Dogecoin,1230,130.76880788049317,130.76880788049317,19.62369583847733,19.623695838477346,125,123,0,0,248
41,Dogecoin,1260,130.76880788049317,130.76880788049317,21.408020919940782,21.408020919940782,120,118,0,0,238
42,Dogecoin,1290,130.76880788049317,130.76880788049317,12.961673261191848,12.961673261191848,118,116,0,0,234
43,Dogecoin,1320,130.76880788049317,130.76880788049317,-0.9802005487635768,-0.9802005487635768,115,113,0,0,228
44,Dogecoin,1350,130.76880788049317,130.76880788049317,1.7416719820218276,1.7416719820218134,109,107,0,0,216
45,Dogecoin,1380,130.76880788049317,130.76880788049317,-5.294520657361957,-5.294520657361957,112,110,0,0,222
46,Dogecoin,1410,130.76880788049317,130.76880788049317,-8.194857415889189,-8.194857415889189,111,109,0,0,220
47,Dogecoin,1440,130.76880788049317,130.76880788049317,-13.612751364079983,-13.612751364079983,110,108,0,0,218
48,Dogecoin,1470,130.76880788049317,130.76880788049317,-23.791404606598462,-23.791404606598462,109,107,0,0,216
49,Dogecoin,1500,130.76880788049317,130.76880788049317,-25.19497778516035,-25.19497778516036,106,105,0,0,211
50,Dogecoin,1530,130.76880788049317,130.76880788049317,-24.25879768282087,-24.25879768282087,105,104,0,0,209
51,Dogecoin,1560,130.76880788049317,130.76880788049317,-15.556787429599808,-15.556787429599808,103,102,0,0,205
52,Dogecoin,1590,130.76880788049317,130.76880788049317,-15.144856142922947,-15.144856142922947,101,100,0,0,201
53,Dogecoin,1620,130.76880788049317,130.76880788049317,-12.726880643561458,-12.726880643561458,98,97,0,0,195
54,Dogecoin,1650,130.76880788049317,130.76880788049317,-0.36419812508978566,-0.36419812508978566,96,95,0,0,191
55,Dogecoin,1680,130.76880788049317,130.76880788049317,9.640098593480587,9.640098593480587,93,92,0,0,185
56,Dogecoin,1710,130.76880788049317,130.76880788049317,15.536647944161217,15.536647944161203,92,91,0,0,183
57,Dogecoin,1740,130.76880788049317,130.76880788049317,22.211478137924743,22.211478137924743,88,87,0,0,175
58,Dogecoin,1770,130.76880788049317,130.76880788049317,17.001662491491714,17.001662491491714,87,86,0,0,173
59,Dogecoin,1800,130.76880788049317,130.76880788049317,20.045942970658146,20.045942970658132,86,85,0,0,171
