,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Ethereum,30,465.69359923606964,465.69359923606964,-20.647698336120044,-20.647698336120044,1948,1948,0,0,3896
1,Ethereum,60,465.69359923606964,465.69359923606964,9.859586381367478,9.859586381367478,1283,1283,0,0,2566
2,Ethereum,90,465.69359923606964,465.69359923606964,60.163735394779884,60.16373539477988,966,966,0,0,1932
3,Ethereum,120,465.69359923606964,465.69359923606964,35.4336085041856,35.4336085041856,768,768,0,0,1536
4,Ethereum,150,465.69359923606964,465.69359923606964,27.85726661711273,27.857266617112714,642,642,0,0,1284
5,Ethereum,180,465.69359923606964,465.69359923606964,38.09409447308215,38.09409447308215,549,549,0,0,1098
6,Ethereum,210,465.69359923606964,465.69359923606964,24.62153368973148,24.62153368973148,487,487,0,0,974
7,Ethereum,240,465.69359923606964,465.69359923606964,60.59054966813826,60.590549668138266,425,425,0,0,850
8,Ethereum,270,465.69359923606964,465.69359923606964,80.83881894573076,80.83881894573074,391,391,0,0,782
9,Ethereum,300,465.69359923606964,465.69359923606964,97.89267781628328,97.89267781628328,358,358,0,0,716
10,Ethereum,330,465.69359923606964,465.69359923606964,108.66408941448613,108.66408941448614,329,329,0,0,658
11,Ethereum,360,465.69359923606964,465.69359923606964,103.01955069559348,103.0195506955935,304,304,0,0,608
12,Ethereum,390,465.69359923606964,465.69359923606964,118.93416015804851,118.93416015804851,285,285,0,0,570
13,Ethereum,420,465.69359923606964,465.69359923606964,207.505653115159,207.50565311515896,255,254,0,0,509
14,Ethereum,450,465.69359923606964,465.69359923606964,267.20339666167087,267.20339666167087,235,234,0,0,469
15,Ethereum,480,465.69359923606964,465.69359923606964,245.07197233048407,245.07197233048407,222,221,0,0,443
16,Ethereum,510,465.69359923606964,465.69359923606964,218.02934780887412,218.02934780887415,213,213,0,0,426
17,Ethereum,540,465.69359923606964,465.69359923606964,180.05363504606453,180.05363504606453,205,205,0,0,410
