,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Litecoin,30,197.6189240429689,197.6189240429689,-93.68864855492694,-93.68864855492694,2435,2435,0,0,4870
1,Litecoin,60,197.6189240429689,197.6189240429689,-82.29667865059214,-82.29667865059213,1547,1547,0,0,3094
2,Litecoin,90,197.6189240429689,197.6189240429689,-75.36238208652614,-75.36238208652614,1139,1139,0,0,2278
3,Litecoin,120,197.6189240429689,197.6189240429689,-80.39812847139692,-80.39812847139692,908,908,0,0,1816
4,Litecoin,150,197.6189240429689,197.6189240429689,-78.28473281950433,-78.28473281950433,749,749,0,0,1498
5,Litecoin,180,197.6189240429689,197.6189240429689,-69.79250367246631,-69.79250367246631,640,640,0,0,1280
6,Litecoin,210,197.6189240429689,197.6189240429689,-65.37642932481762,-65.37642932481762,563,563,0,0,1126
7,Litecoin,240,197.6189240429689,197.6189240429689,-63.63985663695889,-63.63985663695889,500,500,0,0,1000
8,Litecoin,270,197.6189240429689,197.6189240429689,-65.54227837618524,-65.54227837618524,465,465,0,0,930
9,Litecoin,300,197.6189240429689,197.6189240429689,-58.1520431500831,-58.1520431500831,418,418,0,0,836
10,Litecoin,330,197.6189240429689,197.6189240429689,-62.22754519721651,-62.22754519721651,388,388,0,0,776
11,Litecoin,360,197.6189240429689,197.6189240429689,-62.23037687377685,-62.23037687377685,364,364,0,0,728
12,Litecoin,390,197.6189240429689,197.6189240429689,-55.03199656955433,-55.03199656955433,337,337,0,0,674
13,Litecoin,420,197.6189240429689,197.6189240429689,-51.85615504272925,-51.85615504272925,314,313,0,0,627
14,Litecoin,450,197.6189240429689,197.6189240429689,-44.328701289852184,-44.32870128985218,294,293,0,0,587
15,Litecoin,480,197.6189240429689,197.6189240429689,-16.32181470783469,-16.32181470783469,268,267,0,0,535
16,Litecoin,510,197.6189240429689,197.6189240429689,-6.280310618135373,-6.280310618135374,251,250,0,0,501
17,Litecoin,540,197.6189240429689,197.6189240429689,17.514326071958564,17.51432607195858,233,232,0,0,465
18,Litecoin,570,197.6189240429689,197.6189240429689,30.290157518250428,30.290157518250425,220,219,0,0,439
19,Litecoin,600,197.6189240429689,197.6189240429689,29.986455706129334,29.986455706129334,208,207,0,0,415
20,Litecoin,630,197.6189240429689,197.6189240429689,52.859537588851055,52.85953758885108,196,196,0,0,392
21,Litecoin,660,197.6189240429689,197.6189240429689,46.39695544908432,46.39695544908432,186,186,0,0,372
22,Litecoin,690,197.6189240429689,197.6189240429689,82.36884473413195,82.36884473413195,178,177,0,0,355
23,Litecoin,720,197.6189240429689,197.6189240429689,73.60277011330723,73.60277011330723,171,170,0,0,341
24,Litecoin,750,197.6189240429689,197.6189240429689,67.19232767846941,67.19232767846941,168,167,0,0,335
25,Litecoin,780,197.6189240429689,197.6189240429689,86.93018805718776,86.93018805718776,161,160,0,0,321
26,Litecoin,810,197.6189240429689,197.6189240429689,91.92979459867834,91.92979459867834,156,155,0,0,311
27,Litecoin,840,197.6189240429689,197.6189240429689,80.45745241661106,80.45745241661106,154,153,0,0,307
28,Litecoin,870,197.6189240429689,197.6189240429689,70.50205187261585,70.50205187261588,151,150,0,0,301
29,Litecoin,900,197.6189240429689,197.6189240429689,58.51068273074092,58.51068273074091,146,145,0,0,291
30,Litecoin,930,197.6189240429689,197.6189240429689,57.01606987129495,57.016069871294945,143,142,0,0,285
31,Litecoin,960,197.6189240429689,197.6189240429689,52.26004942255227,52.26004942255227,138,137,0,0,275
32,Litecoin,990,197.6189240429689,197.6189240429689,49.69914851907083,49.69914851907083,134,133,0,0,267
33,Litecoin,1020,197.6189240429689,197.6189240429689,43.46935742744938,43.46935742744938,131,130,0,0,261
34,Litecoin,1050,197.6189240429689,197.6189240429689,33.63583711469607,33.63583711469607,126,125,0,0,251
35,Litecoin,1080,197.6189240429689,197.6189240429689,34.73339274743839,34.73339274743839,123,122,0,0,245
36,Litecoin,1110,197.6189240429689,197.6189240429689,22.6292455710645,22.629245571064487,123,122,0,0,245
37,Litecoin,1140,197.6189240429689,197.6189240429689,21.034724533311348,21.034724533311348,118,117,0,0,235
38,Litecoin,1170,197.6189240429689,197.6189240429689,10.588318660641804,10.588318660641804,118,117,0,0,235
39,Litecoin,1200,197.6189240429689,197.6189240429689,-2.653569922679779,-2.653569922679779,117,116,0,0,233
40,Litecoin,1230,197.6189240429689,197.6189240429689,19.741479963010946,19.741479963010946,111,110,0,0,221
41,Litecoin,1260,197.6189240429689,197.6189240429689,16.56917866357739,16.56917866357739,110,109,0,0,219
42,Litecoin,1290,197.6189240429689,197.6189240429689,8.60526419132978,8.60526419132978,107,106,0,0,213
43,Litecoin,1320,197.6189240429689,197.6189240429689,11.991250980077481,11.991250980077467,105,104,0,0,209
44,Litecoin,1350,197.6189240429689,197.6189240429689,31.30079532527915,31.300795325279154,102,101,0,0,203
45,Litecoin,1380,197.6189240429689,197.6189240429689,31.252224822526074,31.252224822526074,99,98,0,0,197
46,Litecoin,1410,197.6189240429689,197.6189240429689,22.573156193532043,22.573156193532043,98,97,0,0,195
47,Litecoin,1440,197.6189240429689,197.6189240429689,27.515932265605343,27.51593226560533,94,93,0,0,187
48,Litecoin,1470,197.6189240429689,197.6189240429689,35.93893067765009,35.93893067765009,89,88,0,0,177
49,Litecoin,1500,197.6189240429689,197.6189240429689,18.545361984476287,18.5453619844763,89,88,0,0,177
50,Litecoin,1530,197.6189240429689,197.6189240429689,19.019413101127128,19.019413101127142,88,87,0,0,175
51,Litecoin,1560,197.6189240429689,197.6189240429689,16.104760983107468,16.104760983107468,87,86,0,0,173
52,Litecoin,1590,197.6189240429689,197.6189240429689,33.760852587471334,33.760852587471334,84,83,0,0,167
53,Litecoin,1620,197.6189240429689,197.6189240429689,38.43823806052637,38.43823806052637,82,81,0,0,163
54,Litecoin,1650,197.6189240429689,197.6189240429689,50.45300482996342,50.45300482996342,79,78,0,0,157
55,Litecoin,1680,197.6189240429689,197.6189240429689,48.03207130394753,48.03207130394753,78,77,0,0,155
56,Litecoin,1710,197.6189240429689,197.6189240429689,69.42622672476884,69.42622672476884,74,74,0,0,148
57,Litecoin,1740,197.6189240429689,197.6189240429689,69.38548078906322,69.38548078906322,73,73,0,0,146
58,Litecoin,1770,197.6189240429689,197.6189240429689,68.75032672545709,68.75032672545709,72,72,0,0,144
59,Litecoin,1800,197.6189240429689,197.6189240429689,66.78109235997934,66.78109235997934,71,71,0,0,142
60,Litecoin,1830,197.6189240429689,197.6189240429689,78.99258167899887,78.99258167899887,70,70,0,0,140
61,Litecoin,1860,197.6189240429689,197.6189240429689,117.52750267576164,117.52750267576167,66,66,0,0,132
62,Litecoin,1890,197.6189240429689,197.6189240429689,115.23801600836683,115.2380160083668,65,65,0,0,130
63,Litecoin,1920,197.6189240429689,197.6189240429689,106.59349064032273,106.59349064032276,63,63,0,0,126
64,Litecoin,1950,197.6189240429689,197.6189240429689,98.64184265941998,98.64184265941998,63,63,0,0,126
65,Litecoin,1980,197.6189240429689,197.6189240429689,105.06926897410113,105.06926897410116,62,62,0,0,124
66,Litecoin,2010,197.6189240429689,197.6189240429689,92.09942499062464,92.09942499062464,61,61,0,0,122
67,Litecoin,2040,197.6189240429689,197.6189240429689,88.05460300717834,88.05460300717834,61,61,0,0,122
68,Litecoin,2070,197.6189240429689,197.6189240429689,83.65695233307349,83.65695233307349,61,61,0,0,122
69,Litecoin,2100,197.6189240429689,197.6189240429689,98.57660772389985,98.57660772389985,59,59,0,0,118
70,Litecoin,2130,197.6189240429689,197.6189240429689,106.54070660476343,106.54070660476344,58,58,0,0,116
71,Litecoin,2160,197.6189240429689,197.6189240429689,102.66399599305257,102.66399599305257,58,58,0,0,116
72,Litecoin,2190,197.6189240429689,197.6189240429689,129.39897438671738,129.39897438671738,56,56,0,0,112
73,Litecoin,2220,197.6189240429689,197.6189240429689,132.16088384093302,132.16088384093302,55,55,0,0,110
