,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,XRP,30,13.30741168751675,13.307411687516748,-77.5797335212748,-77.5797335212748,2315,2315,0,0,4630
1,XRP,60,13.30741168751675,13.307411687516748,-78.95124402064259,-78.95124402064259,1527,1527,0,0,3054
2,XRP,90,13.30741168751675,13.307411687516748,-66.37093929033617,-66.37093929033617,1132,1132,0,0,2264
3,XRP,120,13.30741168751675,13.307411687516748,-76.31307787395738,-76.31307787395738,918,918,0,0,1836
4,XRP,150,13.30741168751675,13.307411687516748,-77.08111333896588,-77.08111333896588,767,767,0,0,1534
5,XRP,180,13.30741168751675,13.307411687516748,-72.51562809866024,-72.51562809866024,659,659,0,0,1318
6,XRP,210,13.30741168751675,13.307411687516748,-75.2005662556829,-75.2005662556829,578,577,0,0,1155
7,XRP,240,13.30741168751675,13.307411687516748,-64.50636275414804,-64.50636275414803,501,500,0,0,1001
8,XRP,270,13.30741168751675,13.307411687516748,-69.82494645649041,-69.82494645649041,464,463,0,0,927
9,XRP,300,13.30741168751675,13.307411687516748,-51.145891115658856,-51.145891115658856,409,408,0,0,817
10,XRP,330,13.30741168751675,13.307411687516748,-48.8439466894361,-48.8439466894361,360,359,0,0,719
11,XRP,360,13.30741168751675,13.307411687516748,-40.79997349672838,-40.79997349672837,331,330,0,0,661
12,XRP,390,13.30741168751675,13.307411687516748,-51.9541856061859,-51.9541856061859,314,313,0,0,627
13,XRP,420,13.30741168751675,13.307411687516748,-58.08653017001688,-58.08653017001688,296,295,0,0,591
14,XRP,450,13.30741168751675,13.307411687516748,-58.03747649419405,-58.03747649419405,278,277,0,0,555
15,XRP,480,13.30741168751675,13.307411687516748,-28.866275693407246,-28.866275693407246,250,249,0,0,499
16,XRP,510,13.30741168751675,13.307411687516748,-31.468532273713397,-31.468532273713407,239,238,0,0,477
17,XRP,540,13.30741168751675,13.307411687516748,-26.705127042624554,-26.705127042624554,227,226,0,0,453
18,XRP,570,13.30741168751675,13.307411687516748,-16.260707956045522,-16.260707956045522,214,213,0,0,427
19,XRP,600,13.30741168751675,13.307411687516748,-13.129522367630104,-13.129522367630102,206,205,0,0,411
20,XRP,630,13.30741168751675,13.307411687516748,-4.340664269498376,-4.340664269498376,196,195,0,0,391
21,XRP,660,13.30741168751675,13.307411687516748,-0.6340805786045536,-0.6340805786045536,186,185,0,0,371
22,XRP,690,13.30741168751675,13.307411687516748,34.05498705074214,34.05498705074214,177,176,0,0,353
23,XRP,720,13.30741168751675,13.307411687516748,65.91578011023063,65.91578011023063,167,166,0,0,333
24,XRP,750,13.30741168751675,13.307411687516748,67.0945557018473,67.0945557018473,164,163,0,0,327
25,XRP,780,13.30741168751675,13.307411687516748,56.50479820140515,56.50479820140515,162,161,0,0,323
26,XRP,810,13.30741168751675,13.307411687516748,46.158363168961046,46.158363168961046,160,159,0,0,319
27,XRP,840,13.30741168751675,13.307411687516748,50.378079705685764,50.378079705685764,156,155,0,0,311
28,XRP,870,13.30741168751675,13.307411687516748,55.40574073921684,55.40574073921681,151,150,0,0,301
29,XRP,900,13.30741168751675,13.307411687516748,42.49155816950238,42.49155816950238,149,148,0,0,297
30,XRP,930,13.30741168751675,13.307411687516748,59.605420025616404,59.60542002561641,140,139,0,0,279
31,XRP,960,13.30741168751675,13.307411687516748,54.5054787704537,54.50547877045372,138,137,0,0,275
32,XRP,990,13.30741168751675,13.307411687516748,49.76937152470498,49.76937152470498,136,135,0,0,271
33,XRP,1020,13.30741168751675,13.307411687516748,90.05942217074346,90.05942217074346,127,127,0,0,254
34,XRP,1050,13.30741168751675,13.307411687516748,114.6139190065056,114.6139190065056,123,123,0,0,246
35,XRP,1080,13.30741168751675,13.307411687516748,96.78957632225158,96.78957632225158,121,121,0,0,242
36,XRP,1110,13.30741168751675,13.307411687516748,99.49460371090555,99.49460371090555,117,117,0,0,234
37,XRP,1140,13.30741168751675,13.307411687516748,87.77466115836265,87.77466115836265,116,116,0,0,232
38,XRP,1170,13.30741168751675,13.307411687516748,111.11455051438699,111.11455051438699,112,112,0,0,224
39,XRP,1200,13.30741168751675,13.307411687516748,69.45308150816817,69.45308150816817,110,110,0,0,220
40,XRP,1230,13.30741168751675,13.307411687516748,85.54424981334972,85.54424981334972,105,105,0,0,210
41,XRP,1260,13.30741168751675,13.307411687516748,98.95794515582224,98.95794515582224,102,102,0,0,204
42,XRP,1290,13.30741168751675,13.307411687516748,87.65112237128267,87.65112237128267,98,98,0,0,196
43,XRP,1320,13.30741168751675,13.307411687516748,79.16025959881628,79.16025959881631,97,97,0,0,194
44,XRP,1350,13.30741168751675,13.307411687516748,70.91170980219331,70.91170980219331,96,96,0,0,192
45,XRP,1380,13.30741168751675,13.307411687516748,66.25524983154318,66.25524983154318,96,96,0,0,192
46,XRP,1410,13.30741168751675,13.307411687516748,68.39568387634776,68.39568387634776,93,93,0,0,186
47,XRP,1440,13.30741168751675,13.307411687516748,78.78026730096687,78.78026730096684,91,91,0,0,182
48,XRP,1470,13.30741168751675,13.307411687516748,81.99773691359275,81.99773691359275,88,88,0,0,176
49,XRP,1500,13.30741168751675,13.307411687516748,84.32716641092975,84.32716641092975,85,85,0,0,170
50,XRP,1530,13.30741168751675,13.307411687516748,60.452004613107704,60.452004613107704,84,84,0,0,168
51,XRP,1560,13.30741168751675,13.307411687516748,56.373134103263,56.373134103263,83,83,0,0,166
52,XRP,1590,13.30741168751675,13.307411687516748,61.59285520126303,61.592855201263035,79,79,0,0,158
53,XRP,1620,13.30741168751675,13.307411687516748,60.85835770809938,60.85835770809939,77,77,0,0,154
54,XRP,1650,13.30741168751675,13.307411687516748,60.97442633513837,60.97442633513836,76,76,0,0,152
55,XRP,1680,13.30741168751675,13.307411687516748,74.35813241693543,74.35813241693543,74,74,0,0,148
56,XRP,1710,13.30741168751675,13.307411687516748,61.30796643819747,61.30796643819747,71,71,0,0,142
57,XRP,1740,13.30741168751675,13.307411687516748,48.100746189946165,48.100746189946165,71,71,0,0,142
58,XRP,1770,13.30741168751675,13.307411687516748,46.82742605424511,46.82742605424511,69,69,0,0,138
59,XRP,1800,13.30741168751675,13.307411687516748,52.15953357608208,52.15953357608208,68,68,0,0,136
60,XRP,1830,13.30741168751675,13.307411687516748,34.1823703908554,34.1823703908554,68,68,0,0,136
61,XRP,1860,13.30741168751675,13.307411687516748,24.362502495955937,24.362502495955923,68,68,0,0,136
62,XRP,1890,13.30741168751675,13.307411687516748,37.68950368122802,37.68950368122802,66,66,0,0,132
63,XRP,1920,13.30741168751675,13.307411687516748,38.443125206192065,38.443125206192065,64,64,0,0,128
64,XRP,1950,13.30741168751675,13.307411687516748,36.52332579887883,36.52332579887883,64,64,0,0,128
65,XRP,1980,13.30741168751675,13.307411687516748,42.86639971108542,42.86639971108542,63,63,0,0,126
66,XRP,2010,13.30741168751675,13.307411687516748,32.116897708034315,32.116897708034315,63,63,0,0,126
67,XRP,2040,13.30741168751675,13.307411687516748,41.14078661436474,41.14078661436474,62,62,0,0,124
68,XRP,2070,13.30741168751675,13.307411687516748,31.42411027304061,31.42411027304061,62,62,0,0,124
69,XRP,2100,13.30741168751675,13.307411687516748,28.68835757293499,28.68835757293499,61,61,0,0,122
70,XRP,2130,13.30741168751675,13.307411687516748,24.93740631980843,24.93740631980843,61,61,0,0,122
71,XRP,2160,13.30741168751675,13.307411687516748,18.645021810405936,18.64502181040595,61,61,0,0,122
72,XRP,2190,13.30741168751675,13.307411687516748,16.379040411757785,16.37904041175777,61,61,0,0,122
73,XRP,2220,13.30741168751675,13.307411687516748,29.735211892835594,29.735211892835594,58,58,0,0,116
74,XRP,2250,13.30741168751675,13.307411687516748,28.00844275452286,28.00844275452286,58,58,0,0,116
75,XRP,2280,13.30741168751675,13.307411687516748,32.11549583452353,32.11549583452353,57,57,0,0,114
76,XRP,2310,13.30741168751675,13.307411687516748,30.629437814352883,30.629437814352883,57,57,0,0,114
77,XRP,2340,13.30741168751675,13.307411687516748,42.93166535950496,42.93166535950496,55,55,0,0,110
78,XRP,2370,13.30741168751675,13.307411687516748,38.607223993084375,38.607223993084375,55,55,0,0,110
79,XRP,2400,13.30741168751675,13.307411687516748,42.468325773679425,42.468325773679425,54,54,0,0,108
80,XRP,2430,13.30741168751675,13.307411687516748,49.776302018969034,49.776302018969034,53,53,0,0,106
81,XRP,2460,13.30741168751675,13.307411687516748,43.912159730316716,43.912159730316716,53,53,0,0,106
82,XRP,2490,13.30741168751675,13.307411687516748,43.912159730316716,43.912159730316716,53,53,0,0,106
83,XRP,2520,13.30741168751675,13.307411687516748,61.866128408626565,61.866128408626565,50,50,0,0,100
84,XRP,2550,13.30741168751675,13.307411687516748,61.69891473951029,61.698914739510315,50,50,0,0,100
85,XRP,2580,13.30741168751675,13.307411687516748,65.4078751865271,65.40787518652712,49,49,0,0,98
86,XRP,2610,13.30741168751675,13.307411687516748,61.52603684307667,61.52603684307667,49,49,0,0,98
87,XRP,2640,13.30741168751675,13.307411687516748,59.988723833290216,59.98872383329021,49,49,0,0,98
88,XRP,2670,13.30741168751675,13.307411687516748,59.15613230749883,59.15613230749884,49,49,0,0,98
89,XRP,2700,13.30741168751675,13.307411687516748,66.55165758650188,66.55165758650188,48,48,0,0,96
90,XRP,2730,13.30741168751675,13.307411687516748,66.55165758650188,66.55165758650188,48,48,0,0,96
91,XRP,2760,13.30741168751675,13.307411687516748,63.83047313004773,63.83047313004772,48,48,0,0,96
92,XRP,2790,13.30741168751675,13.307411687516748,60.00669043519438,60.00669043519437,48,48,0,0,96
93,XRP,2820,13.30741168751675,13.307411687516748,62.62621334644115,62.62621334644115,47,47,0,0,94
94,XRP,2850,13.30741168751675,13.307411687516748,71.41660932371335,71.41660932371335,46,46,0,0,92
