,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Dogecoin,30,130.76880788049317,130.76880788049317,-99.64692694586392,-99.64692694586392,2691,2691,0,0,5382
1,Dogecoin,150,130.76880788049317,130.76880788049317,-96.3025113822909,-96.3025113822909,914,914,0,0,1828
2,Dogecoin,270,130.76880788049317,130.76880788049317,-88.22829209836394,-88.22829209836394,545,545,0,0,1090
3,Dogecoin,390,130.76880788049317,130.76880788049317,-86.30977588442943,-86.30977588442943,401,400,0,0,801
4,Dogecoin,510,130.76880788049317,130.76880788049317,-58.160642503053275,-58.160642503053275,306,305,0,0,611
5,Dogecoin,630,130.76880788049317,130.76880788049317,-23.13734810672615,-23.13734810672615,249,248,0,0,497
6,Dogecoin,750,130.76880788049317,130.76880788049317,2.9824959799136224,2.9824959799136224,211,211,0,0,422
7,Dogecoin,870,130.76880788049317,130.76880788049317,45.47718685801695,45.47718685801695,172,170,0,0,342
8,Dogecoin,990,130.76880788049317,130.76880788049317,21.65624840008151,21.65624840008151,156,154,0,0,310
9,Dogecoin,1110,130.76880788049317,130.76880788049317,29.321494097824203,29.3214940978242,135,133,0,0,268
10,Dogecoin,1230,130.76880788049317,130.76880788049317,19.62369583847733,19.623695838477346,125,123,0,0,248
11,Dogecoin,1350,130.76880788049317,130.76880788049317,1.7416719820218276,1.7416719820218134,109,107,0,0,216
12,Dogecoin,1470,130.76880788049317,130.76880788049317,-23.791404606598462,-23.791404606598462,109,107,0,0,216
13,Dogecoin,1590,130.76880788049317,130.76880788049317,-15.144856142922947,-15.144856142922947,101,100,0,0,201
14,Dogecoin,1710,130.76880788049317,130.76880788049317,15.536647944161217,15.536647944161203,92,91,0,0,183
15,Dogecoin,1830,130.76880788049317,130.76880788049317,16.318421950559156,16.31842195055914,85,84,0,0,169
16,Dogecoin,1950,130.76880788049317,130.76880788049317,38.6759338545904,38.6759338545904,74,73,0,0,147
17,Dogecoin,2070,130.76880788049317,130.76880788049317,40.85807295883123,40.85807295883123,69,68,0,0,137
18,Dogecoin,2190,130.76880788049317,130.76880788049317,40.55647726076086,40.55647726076086,67,66,0,0,133
19,Dogecoin,2310,130.76880788049317,130.76880788049317,32.24872152230162,32.24872152230162,64,63,0,0,127
20,Dogecoin,2430,130.76880788049317,130.76880788049317,40.442257653071124,40.442257653071124,58,57,0,0,115
21,Dogecoin,2550,130.76880788049317,130.76880788049317,44.078030099636294,44.078030099636294,54,53,0,0,107
22,Dogecoin,2670,130.76880788049317,130.76880788049317,34.324236174221085,34.324236174221085,53,52,0,0,105
23,Dogecoin,2790,130.76880788049317,130.76880788049317,34.081782360692785,34.081782360692785,51,50,0,0,101
24,Dogecoin,2910,130.76880788049317,130.76880788049317,60.29237715909965,60.29237715909966,47,46,0,0,93
25,Dogecoin,3030,130.76880788049317,130.76880788049317,56.658602955509544,56.65860295550954,46,45,0,0,91
26,Dogecoin,3150,130.76880788049317,130.76880788049317,49.287363115740305,49.287363115740305,45,44,0,0,89
27,Dogecoin,3270,130.76880788049317,130.76880788049317,90.69363291378775,90.69363291378772,39,39,0,0,78
28,Dogecoin,3390,130.76880788049317,130.76880788049317,75.70962931303669,75.70962931303669,38,38,0,0,76
29,Dogecoin,3510,130.76880788049317,130.76880788049317,51.72283056595817,51.72283056595816,38,38,0,0,76
30,Dogecoin,3630,130.76880788049317,130.76880788049317,81.03634628927588,81.03634628927588,35,35,0,0,70
31,Dogecoin,3750,130.76880788049317,130.76880788049317,67.19602472540228,67.19602472540228,35,35,0,0,70
32,Dogecoin,3870,130.76880788049317,130.76880788049317,71.76627331633006,71.76627331633006,33,33,0,0,66
33,Dogecoin,3990,130.76880788049317,130.76880788049317,69.9361662878799,69.9361662878799,32,32,0,0,64
34,Dogecoin,4110,130.76880788049317,130.76880788049317,78.92509849086784,78.92509849086784,30,30,0,0,60
35,Dogecoin,4230,130.76880788049317,130.76880788049317,82.59509799480261,82.59509799480261,29,29,0,0,58
36,Dogecoin,4350,130.76880788049317,130.76880788049317,74.5062457728535,74.5062457728535,29,29,0,0,58
37,Dogecoin,4470,130.76880788049317,130.76880788049317,65.6816063073775,65.6816063073775,29,29,0,0,58
38,Dogecoin,4590,130.76880788049317,130.76880788049317,127.94499394235572,127.94499394235572,27,27,0,0,54
39,Dogecoin,4710,130.76880788049317,130.76880788049317,118.63656659434024,118.6365665943402,27,27,0,0,54
40,Dogecoin,4830,130.76880788049317,130.76880788049317,122.01414463221047,122.01414463221045,26,26,0,0,52
41,Dogecoin,4950,130.76880788049317,130.76880788049317,120.27254400234916,120.27254400234915,27,27,0,0,54
42,Dogecoin,5070,130.76880788049317,130.76880788049317,119.68097200188919,119.68097200188916,26,26,0,0,52
43,Dogecoin,5190,130.76880788049317,130.76880788049317,103.80258506232364,103.80258506232366,26,26,0,0,52
44,Dogecoin,5310,130.76880788049317,130.76880788049317,111.26878389209085,111.26878389209085,25,25,0,0,50
