,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Ethereum,30,465.69359923606964,465.69359923606964,-20.647698336120044,-20.647698336120044,1948,1948,0,0,3896
1,Ethereum,150,465.69359923606964,465.69359923606964,27.85726661711273,27.857266617112714,642,642,0,0,1284
2,Ethereum,270,465.69359923606964,465.69359923606964,80.83881894573076,80.83881894573074,391,391,0,0,782
3,Ethereum,390,465.69359923606964,465.69359923606964,118.93416015804851,118.93416015804851,285,285,0,0,570
4,Ethereum,510,465.69359923606964,465.69359923606964,218.02934780887412,218.02934780887415,213,213,0,0,426
5,Ethereum,630,465.69359923606964,465.69359923606964,376.4791378773353,376.4791378773353,169,168,0,0,337
6,Ethereum,750,465.69359923606964,465.69359923606964,247.89474891924255,247.89474891924255,148,147,0,0,295
7,Ethereum,870,465.69359923606964,465.69359923606964,282.98090452392404,282.98090452392404,129,128,0,0,257
8,Ethereum,990,465.69359923606964,465.69359923606964,239.7023932802349,239.7023932802349,118,117,0,0,235
9,Ethereum,1110,465.69359923606964,465.69359923606964,282.45935771427713,282.45935771427713,106,105,0,0,211
10,Ethereum,1230,465.69359923606964,465.69359923606964,305.93557018829443,305.9355701882945,95,94,0,0,189
11,Ethereum,1350,465.69359923606964,465.69359923606964,442.83212884368845,442.83212884368845,82,81,0,0,163
12,Ethereum,1470,465.69359923606964,465.69359923606964,376.8229143889531,376.8229143889531,75,74,0,0,149
13,Ethereum,1590,465.69359923606964,465.69359923606964,376.60446666784577,376.6044666678457,67,66,0,0,133
14,Ethereum,1710,465.69359923606964,465.69359923606964,322.70797179913137,322.7079717991314,65,64,0,0,129
15,Ethereum,1830,465.69359923606964,465.69359923606964,424.5893558172014,424.5893558172014,59,58,0,0,117
16,Ethereum,1950,465.69359923606964,465.69359923606964,353.31501266292014,353.31501266292014,57,56,0,0,113
17,Ethereum,2070,465.69359923606964,465.69359923606964,408.6013446605763,408.6013446605763,54,53,0,0,107
18,Ethereum,2190,465.69359923606964,465.69359923606964,372.8938942213054,372.89389422130535,53,52,0,0,105
19,Ethereum,2310,465.69359923606964,465.69359923606964,348.2239640195845,348.22396401958446,51,50,0,0,101
20,Ethereum,2430,465.69359923606964,465.69359923606964,440.3555041328625,440.3555041328625,48,47,0,0,95
21,Ethereum,2550,465.69359923606964,465.69359923606964,480.10457372719475,480.10457372719475,45,44,0,0,89
22,Ethereum,2670,465.69359923606964,465.69359923606964,461.42196976460895,461.421969764609,45,44,0,0,89
23,Ethereum,2790,465.69359923606964,465.69359923606964,447.8810041758319,447.8810041758319,44,43,0,0,87
24,Ethereum,2910,465.69359923606964,465.69359923606964,438.9566033627124,438.9566033627125,42,41,0,0,83
25,Ethereum,3030,465.69359923606964,465.69359923606964,401.5744322146194,401.5744322146194,42,41,0,0,83
26,Ethereum,3150,465.69359923606964,465.69359923606964,410.73571024425917,410.73571024425917,40,39,0,0,79
27,Ethereum,3270,465.69359923606964,465.69359923606964,417.5525444465925,417.5525444465925,39,38,0,0,77
28,Ethereum,3390,465.69359923606964,465.69359923606964,392.3051140275731,392.30511402757315,37,36,0,0,73
29,Ethereum,3510,465.69359923606964,465.69359923606964,388.5002708185139,388.5002708185139,35,34,0,0,69
30,Ethereum,3630,465.69359923606964,465.69359923606964,465.54812104380926,465.54812104380926,32,31,0,0,63
31,Ethereum,3750,465.69359923606964,465.69359923606964,477.7821566626925,477.7821566626925,31,30,0,0,61
32,Ethereum,3870,465.69359923606964,465.69359923606964,444.8407337970505,444.8407337970506,31,30,0,0,61
33,Ethereum,3990,465.69359923606964,465.69359923606964,392.0986382972078,392.0986382972078,31,30,0,0,61
34,Ethereum,4110,465.69359923606964,465.69359923606964,381.4068843741994,381.4068843741994,31,30,0,0,61
35,Ethereum,4230,465.69359923606964,465.69359923606964,402.9044496966959,402.9044496966959,30,29,0,0,59
36,Ethereum,4350,465.69359923606964,465.69359923606964,383.4201104372866,383.4201104372866,30,29,0,0,59
37,Ethereum,4470,465.69359923606964,465.69359923606964,371.5271299445102,371.5271299445102,30,29,0,0,59
38,Ethereum,4590,465.69359923606964,465.69359923606964,364.00013469751366,364.00013469751366,30,29,0,0,59
39,Ethereum,4710,465.69359923606964,465.69359923606964,360.16655369790817,360.1665536979082,30,29,0,0,59
40,Ethereum,4830,465.69359923606964,465.69359923606964,344.0375075743324,344.0375075743324,29,28,0,0,57
41,Ethereum,4950,465.69359923606964,465.69359923606964,353.26416334737934,353.26416334737934,29,28,0,0,57
42,Ethereum,5070,465.69359923606964,465.69359923606964,300.6612369439028,300.66123694390274,29,28,0,0,57
43,Ethereum,5190,465.69359923606964,465.69359923606964,322.3178941539117,322.31789415391177,26,25,0,0,51
44,Ethereum,5310,465.69359923606964,465.69359923606964,288.73330297634453,288.73330297634453,26,25,0,0,51
45,Ethereum,5430,465.69359923606964,465.69359923606964,322.7045611596464,322.70456115964646,25,24,0,0,49
46,Ethereum,5550,465.69359923606964,465.69359923606964,312.7552267866418,312.75522678664186,25,24,0,0,49
47,Ethereum,5670,465.69359923606964,465.69359923606964,284.680502569173,284.680502569173,25,24,0,0,49
48,Ethereum,5790,465.69359923606964,465.69359923606964,257.8096315662471,257.8096315662471,25,24,0,0,49
49,Ethereum,5910,465.69359923606964,465.69359923606964,231.05170928326834,231.05170928326834,25,24,0,0,49
50,Ethereum,6030,465.69359923606964,465.69359923606964,241.04195909718104,241.041959097181,24,23,0,0,47
51,Ethereum,6150,465.69359923606964,465.69359923606964,226.6117058311127,226.61170583111272,24,23,0,0,47
52,Ethereum,6270,465.69359923606964,465.69359923606964,205.99907368684245,205.99907368684245,24,23,0,0,47
53,Ethereum,6390,465.69359923606964,465.69359923606964,241.26398612344025,241.26398612344025,23,22,0,0,45
54,Ethereum,6510,465.69359923606964,465.69359923606964,236.9382119461845,236.93821194618454,23,22,0,0,45
55,Ethereum,6630,465.69359923606964,465.69359923606964,265.66269238845035,265.66269238845035,22,21,0,0,43
56,Ethereum,6750,465.69359923606964,465.69359923606964,247.29155530298362,247.29155530298362,22,21,0,0,43
57,Ethereum,6870,465.69359923606964,465.69359923606964,265.9349726915177,265.9349726915177,21,20,0,0,41
58,Ethereum,6990,465.69359923606964,465.69359923606964,244.63674389963265,244.63674389963262,21,20,0,0,41
59,Ethereum,7110,465.69359923606964,465.69359923606964,225.6518772970276,225.65187729702762,21,20,0,0,41
