,Coin,Window width in mins,buy_and_hold,hold_net_profit,strategy,strategy_net_profit,longs,sells,shorts,covers,total_trades
0,Litecoin,30,197.6189240429689,197.6189240429689,-93.68864855492694,-93.68864855492694,2435,2435,0,0,4870
1,Litecoin,150,197.6189240429689,197.6189240429689,-78.28473281950433,-78.28473281950433,749,749,0,0,1498
2,Litecoin,270,197.6189240429689,197.6189240429689,-65.54227837618524,-65.54227837618524,465,465,0,0,930
3,Litecoin,390,197.6189240429689,197.6189240429689,-55.03199656955433,-55.03199656955433,337,337,0,0,674
4,Litecoin,510,197.6189240429689,197.6189240429689,-6.280310618135373,-6.280310618135374,251,250,0,0,501
5,Litecoin,630,197.6189240429689,197.6189240429689,52.859537588851055,52.85953758885108,196,196,0,0,392
6,Litecoin,750,197.6189240429689,197.6189240429689,67.19232767846941,67.19232767846941,168,167,0,0,335
7,Litecoin,870,197.6189240429689,197.6189240429689,70.50205187261585,70.50205187261588,151,150,0,0,301
8,Litecoin,990,197.6189240429689,197.6189240429689,49.69914851907083,49.69914851907083,134,133,0,0,267
9,Litecoin,1110,197.6189240429689,197.6189240429689,22.6292455710645,22.629245571064487,123,122,0,0,245
10,Litecoin,1230,197.6189240429689,197.6189240429689,19.741479963010946,19.741479963010946,111,110,0,0,221
11,Litecoin,1350,197.6189240429689,197.6189240429689,31.30079532527915,31.300795325279154,102,101,0,0,203
12,Litecoin,1470,197.6189240429689,197.6189240429689,35.93893067765009,35.93893067765009,89,88,0,0,177
13,Litecoin,1590,197.6189240429689,197.6189240429689,33.760852587471334,33.760852587471334,84,83,0,0,167
14,Litecoin,1710,197.6189240429689,197.6189240429689,69.42622672476884,69.42622672476884,74,74,0,0,148
15,Litecoin,1830,197.6189240429689,197.6189240429689,78.99258167899887,78.99258167899887,70,70,0,0,140
16,Litecoin,1950,197.6189240429689,197.6189240429689,98.64184265941998,98.64184265941998,63,63,0,0,126
17,Litecoin,2070,197.6189240429689,197.6189240429689,83.65695233307349,83.65695233307349,61,61,0,0,122
18,Litecoin,2190,197.6189240429689,197.6189240429689,129.39897438671738,129.39897438671738,56,56,0,0,112
19,Litecoin,2310,197.6189240429689,197.6189240429689,172.5850669575691,172.5850669575691,52,52,0,0,104
20,Litecoin,2430,197.6189240429689,197.6189240429689,177.6436556021843,177.6436556021843,50,50,0,0,100
21,Litecoin,2550,197.6189240429689,197.6189240429689,191.91512129899604,191.91512129899604,48,48,0,0,96
22,Litecoin,2670,197.6189240429689,197.6189240429689,178.7875954587073,178.7875954587073,46,46,0,0,92
23,Litecoin,2790,197.6189240429689,197.6189240429689,134.6590518387665,134.65905183876652,46,46,0,0,92
24,Litecoin,2910,197.6189240429689,197.6189240429689,153.48892298271832,153.48892298271832,44,44,0,0,88
25,Litecoin,3030,197.6189240429689,197.6189240429689,129.9442130179191,129.94421301791908,44,44,0,0,88
26,Litecoin,3150,197.6189240429689,197.6189240429689,129.45316259345563,129.45316259345563,43,42,0,0,85
27,Litecoin,3270,197.6189240429689,197.6189240429689,150.66027166693834,150.66027166693834,40,39,0,0,79
28,Litecoin,3390,197.6189240429689,197.6189240429689,147.3674610007336,147.3674610007336,39,38,0,0,77
29,Litecoin,3510,197.6189240429689,197.6189240429689,155.78015212248636,155.78015212248636,38,37,0,0,75
30,Litecoin,3630,197.6189240429689,197.6189240429689,165.78024437495634,165.78024437495634,37,36,0,0,73
31,Litecoin,3750,197.6189240429689,197.6189240429689,225.20394269132441,225.20394269132441,34,33,0,0,67
32,Litecoin,3870,197.6189240429689,197.6189240429689,193.214014408293,193.214014408293,34,33,0,0,67
33,Litecoin,3990,197.6189240429689,197.6189240429689,179.97111930164237,179.97111930164237,34,33,0,0,67
34,Litecoin,4110,197.6189240429689,197.6189240429689,211.87757171450096,211.87757171450096,32,31,0,0,63
35,Litecoin,4230,197.6189240429689,197.6189240429689,208.72027004686004,208.72027004686004,30,29,0,0,59
36,Litecoin,4350,197.6189240429689,197.6189240429689,252.19845154290397,252.19845154290397,27,26,0,0,53
37,Litecoin,4470,197.6189240429689,197.6189240429689,305.46411394495914,305.46411394495914,25,24,0,0,49
38,Litecoin,4590,197.6189240429689,197.6189240429689,284.45141878690185,284.45141878690185,25,24,0,0,49
39,Litecoin,4710,197.6189240429689,197.6189240429689,265.8369541071161,265.8369541071161,25,24,0,0,49
40,Litecoin,4830,197.6189240429689,197.6189240429689,249.276961666283,249.276961666283,25,24,0,0,49
41,Litecoin,4950,197.6189240429689,197.6189240429689,204.29228750605694,204.29228750605694,25,24,0,0,49
42,Litecoin,5070,197.6189240429689,197.6189240429689,166.48151457655513,166.48151457655513,25,24,0,0,49
43,Litecoin,5190,197.6189240429689,197.6189240429689,186.15197224103127,186.15197224103127,24,23,0,0,47
44,Litecoin,5310,197.6189240429689,197.6189240429689,171.73217352074823,171.73217352074823,24,23,0,0,47
45,Litecoin,5430,197.6189240429689,197.6189240429689,138.51613657707216,138.51613657707213,24,23,0,0,47
46,Litecoin,5550,197.6189240429689,197.6189240429689,138.51613657707216,138.51613657707213,24,23,0,0,47
47,Litecoin,5670,197.6189240429689,197.6189240429689,132.20432884421163,132.20432884421163,24,23,0,0,47
48,Litecoin,5790,197.6189240429689,197.6189240429689,129.3414351143793,129.3414351143793,24,23,0,0,47
49,Litecoin,5910,197.6189240429689,197.6189240429689,110.46858562704512,110.46858562704509,24,23,0,0,47
50,Litecoin,6030,197.6189240429689,197.6189240429689,106.30588037233761,106.30588037233761,24,23,0,0,47
